parent,name,parsedAPIReferenceUrl,jsReferenceUrl,doc
ActorClient,build,https://docs.apify.com/api/v2#/reference/actors/build-collection/build-actor,https://docs.apify.com/api/client/js/reference/class/ActorClient#build,https://docs.apify.com/api/v2#/reference/actors/build-collection/build-actor
ActorClient,builds,https://docs.apify.com/api/v2#/reference/actors/build-collection,https://docs.apify.com/api/client/js/reference/class/ActorClient#builds,https://docs.apify.com/api/v2#/reference/actors/build-collection
ActorClient,call,https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor,https://docs.apify.com/api/client/js/reference/class/ActorClient#call,"Starts an actor and waits for it to finish before returning the Run object.
It waits indefinitely, unless the  `waitSecs`  option is provided.
https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor"
ActorClient,delete,https://docs.apify.com/api/v2#/reference/actors/actor-object/delete-actor,https://docs.apify.com/api/client/js/reference/class/ActorClient#delete,https://docs.apify.com/api/v2#/reference/actors/actor-object/delete-actor
ActorClient,get,https://docs.apify.com/api/v2#/reference/actors/actor-object/get-actor,https://docs.apify.com/api/client/js/reference/class/ActorClient#get,https://docs.apify.com/api/v2#/reference/actors/actor-object/get-actor
ActorClient,lastRun,https://docs.apify.com/api/v2#/reference/actors/last-run-object-and-its-storages,https://docs.apify.com/api/client/js/reference/class/ActorClient#lastRun,https://docs.apify.com/api/v2#/reference/actors/last-run-object-and-its-storages
ActorClient,runs,https://docs.apify.com/api/v2#/reference/actors/run-collection,https://docs.apify.com/api/client/js/reference/class/ActorClient#runs,https://docs.apify.com/api/v2#/reference/actors/run-collection
ActorClient,start,https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor,https://docs.apify.com/api/client/js/reference/class/ActorClient#start,"Starts an actor and immediately returns the Run object.
https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor"
ActorClient,update,https://docs.apify.com/api/v2#/reference/actors/actor-object/update-actor,https://docs.apify.com/api/client/js/reference/class/ActorClient#update,https://docs.apify.com/api/v2#/reference/actors/actor-object/update-actor
ActorClient,version,https://docs.apify.com/api/v2#/reference/actors/version-object,https://docs.apify.com/api/client/js/reference/class/ActorClient#version,https://docs.apify.com/api/v2#/reference/actors/version-object
ActorClient,versions,https://docs.apify.com/api/v2#/reference/actors/version-collection,https://docs.apify.com/api/client/js/reference/class/ActorClient#versions,https://docs.apify.com/api/v2#/reference/actors/version-collection
ActorClient,webhooks,https://docs.apify.com/api/v2#/reference/actors/webhook-collection,https://docs.apify.com/api/client/js/reference/class/ActorClient#webhooks,https://docs.apify.com/api/v2#/reference/actors/webhook-collection
ActorCollectionClient,create,https://docs.apify.com/api/v2#/reference/actors/actor-collection/create-actor,https://docs.apify.com/api/client/js/reference/class/ActorCollectionClient#create,https://docs.apify.com/api/v2#/reference/actors/actor-collection/create-actor
ActorCollectionClient,list,https://docs.apify.com/api/v2#/reference/actors/actor-collection/get-list-of-actors,https://docs.apify.com/api/client/js/reference/class/ActorCollectionClient#list,https://docs.apify.com/api/v2#/reference/actors/actor-collection/get-list-of-actors
ApifyApiError,captureStackTrace,,https://docs.apify.com/api/client/js/reference/class/ApifyApiError#captureStackTrace,Create .stack property on a target object
ApifyClient,actor,https://docs.apify.com/api/v2#/reference/actors/actor-object,https://docs.apify.com/api/client/js/reference/class/ApifyClient#actor,https://docs.apify.com/api/v2#/reference/actors/actor-object
ApifyClient,actors,https://docs.apify.com/api/v2#/reference/actors/actor-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#actors,https://docs.apify.com/api/v2#/reference/actors/actor-collection
ApifyClient,build,https://docs.apify.com/api/v2#/reference/actor-builds/build-object,https://docs.apify.com/api/client/js/reference/class/ApifyClient#build,https://docs.apify.com/api/v2#/reference/actor-builds/build-object
ApifyClient,builds,https://docs.apify.com/api/v2#/reference/actor-builds/build-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#builds,https://docs.apify.com/api/v2#/reference/actor-builds/build-collection
ApifyClient,dataset,https://docs.apify.com/api/v2#/reference/datasets/dataset,https://docs.apify.com/api/client/js/reference/class/ApifyClient#dataset,https://docs.apify.com/api/v2#/reference/datasets/dataset
ApifyClient,datasets,https://docs.apify.com/api/v2#/reference/datasets/dataset-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#datasets,https://docs.apify.com/api/v2#/reference/datasets/dataset-collection
ApifyClient,keyValueStore,https://docs.apify.com/api/v2#/reference/key-value-stores/store-object,https://docs.apify.com/api/client/js/reference/class/ApifyClient#keyValueStore,https://docs.apify.com/api/v2#/reference/key-value-stores/store-object
ApifyClient,keyValueStores,https://docs.apify.com/api/v2#/reference/key-value-stores/store-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#keyValueStores,https://docs.apify.com/api/v2#/reference/key-value-stores/store-collection
ApifyClient,log,https://docs.apify.com/api/v2#/reference/logs,https://docs.apify.com/api/client/js/reference/class/ApifyClient#log,https://docs.apify.com/api/v2#/reference/logs
ApifyClient,requestQueue,https://docs.apify.com/api/v2#/reference/request-queues/queue,https://docs.apify.com/api/client/js/reference/class/ApifyClient#requestQueue,https://docs.apify.com/api/v2#/reference/request-queues/queue
ApifyClient,requestQueues,https://docs.apify.com/api/v2#/reference/request-queues/queue-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#requestQueues,https://docs.apify.com/api/v2#/reference/request-queues/queue-collection
ApifyClient,run,https://docs.apify.com/api/v2#/reference/actor-runs/run-object-and-its-storages,https://docs.apify.com/api/client/js/reference/class/ApifyClient#run,https://docs.apify.com/api/v2#/reference/actor-runs/run-object-and-its-storages
ApifyClient,runs,https://docs.apify.com/api/v2#/reference/actor-runs/run-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#runs,https://docs.apify.com/api/v2#/reference/actor-runs/run-collection
ApifyClient,schedule,https://docs.apify.com/api/v2#/reference/schedules/schedule-object,https://docs.apify.com/api/client/js/reference/class/ApifyClient#schedule,https://docs.apify.com/api/v2#/reference/schedules/schedule-object
ApifyClient,schedules,https://docs.apify.com/api/v2#/reference/schedules/schedules-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#schedules,https://docs.apify.com/api/v2#/reference/schedules/schedules-collection
ApifyClient,setStatusMessage,,https://docs.apify.com/api/client/js/reference/class/ApifyClient#setStatusMessage,
ApifyClient,store,https://docs.apify.com/api/v2/#/reference/store,https://docs.apify.com/api/client/js/reference/class/ApifyClient#store,https://docs.apify.com/api/v2/#/reference/store
ApifyClient,task,https://docs.apify.com/api/v2#/reference/actor-tasks/task-object,https://docs.apify.com/api/client/js/reference/class/ApifyClient#task,https://docs.apify.com/api/v2#/reference/actor-tasks/task-object
ApifyClient,tasks,https://docs.apify.com/api/v2#/reference/actor-tasks/task-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#tasks,https://docs.apify.com/api/v2#/reference/actor-tasks/task-collection
ApifyClient,user,https://docs.apify.com/api/v2#/reference/users,https://docs.apify.com/api/client/js/reference/class/ApifyClient#user,https://docs.apify.com/api/v2#/reference/users
ApifyClient,webhook,https://docs.apify.com/api/v2#/reference/webhooks/webhook-object,https://docs.apify.com/api/client/js/reference/class/ApifyClient#webhook,https://docs.apify.com/api/v2#/reference/webhooks/webhook-object
