Group Count,Resource Group,Resource,Action Name,Url,Action Method
1,Actors,Actor collection,Get list of actors,"/v2/acts{?token,offset,limit,desc,my}",GET
1,Actors,Actor collection,Create actor,"/v2/acts{?token,offset,limit,desc,my}",POST
1,Actors,Actor object,Get actor,"/v2/acts/{actorId}{?token}",GET
1,Actors,Actor object,Update actor,"/v2/acts/{actorId}{?token}",PUT
1,Actors,Actor object,Delete actor,"/v2/acts/{actorId}{?token}",DELETE
1,Actors,Version collection,Get list of versions,"/v2/acts/{actorId}/versions{?token}",GET
1,Actors,Version collection,Create version,"/v2/acts/{actorId}/versions{?token}",POST
1,Actors,Version object,Get version,"/v2/acts/{actorId}/versions/{versionNumber}{?token}",GET
1,Actors,Version object,Update version,"/v2/acts/{actorId}/versions/{versionNumber}{?token}",PUT
1,Actors,Version object,Delete version,"/v2/acts/{actorId}/versions/{versionNumber}{?token}",DELETE
1,Actors,Environment variable collection,Get list of environment variables,"/v2/acts/{actorId}/versions/{versionNumber}/env-vars{?token}",GET
1,Actors,Environment variable collection,Create environment variable,"/v2/acts/{actorId}/versions/{versionNumber}/env-vars{?token}",POST
1,Actors,Environment variable object,Get environment variable,"/v2/acts/{actorId}/versions/{versionNumber}/env-vars/{envVarName}{?token}",GET
1,Actors,Environment variable object,Update environment variable,"/v2/acts/{actorId}/versions/{versionNumber}/env-vars/{envVarName}{?token}",PUT
1,Actors,Environment variable object,Delete environment variable,"/v2/acts/{actorId}/versions/{versionNumber}/env-vars/{envVarName}{?token}",DELETE
1,Actors,Webhook collection,Get list of webhooks,"/v2/acts/{actorId}/webhooks{?token,offset,limit,desc}",GET
1,Actors,Build collection,Get list of builds,"/v2/acts/{actorId}/builds{?token,offset,limit,desc,waitForFinish,version,useCache,betaPackages,tag}",GET
1,Actors,Build collection,Build actor,"/v2/acts/{actorId}/builds{?token,offset,limit,desc,waitForFinish,version,useCache,betaPackages,tag}",POST
1,Actors,Build object,Get build,"/v2/acts/{actorId}/builds/{buildId}{?token,waitForFinish}",GET
1,Actors,Abort build,Abort build,"/v2/acts/{actorId}/builds/{buildId}/abort{?token}",POST
1,Actors,Run collection,Get list of runs,"/v2/acts/{actorId}/runs{?token,offset,limit,desc,waitForFinish,timeout,memory,build,webhooks,status}",GET
1,Actors,Run collection,Run actor,"/v2/acts/{actorId}/runs{?token,offset,limit,desc,waitForFinish,timeout,memory,build,webhooks,status}",POST
