methodName,doc,parentName,parsedAPIReferenceUrl,pythonReferenceUrl
__init__,"Initialize the Apify API Client.

Args:
    token (str, optional): The Apify API token
    api_url (str, optional): The URL of the Apify API server to which to connect to. Defaults to https://api.apify.com
    max_retries (int, optional): How many times to retry a failed request at most
    min_delay_between_retries_millis (int, optional): How long will the client wait between retrying requests
        (increases exponentially from this value)
    timeout_secs (int, optional): The socket timeout of the HTTP requests sent to the Apify API",_BaseApifyClient,,https://docs.apify.com/api/client/python/reference/class/_BaseApifyClient#__init__
__init__,"Initialize the ApifyClient.

Args:
    token (str, optional): The Apify API token
    api_url (str, optional): The URL of the Apify API server to which to connect to. Defaults to https://api.apify.com
    max_retries (int, optional): How many times to retry a failed request at most
    min_delay_between_retries_millis (int, optional): How long will the client wait between retrying requests
        (increases exponentially from this value)
    timeout_secs (int, optional): The socket timeout of the HTTP requests sent to the Apify API",ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#__init__
actor,"Retrieve the sub-client for manipulating a single actor.

Args:
    actor_id (str): ID of the actor to be manipulated",ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#actor
actors,Retrieve the sub-client for manipulating actors.,ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#actors
build,"Retrieve the sub-client for manipulating a single actor build.

Args:
    build_id (str): ID of the actor build to be manipulated",ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#build
builds,Retrieve the sub-client for querying multiple builds of a user.,ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#builds
run,"Retrieve the sub-client for manipulating a single actor run.

Args:
    run_id (str): ID of the actor run to be manipulated",ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#run
runs,Retrieve the sub-client for querying multiple actor runs of a user.,ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#runs
dataset,"Retrieve the sub-client for manipulating a single dataset.

Args:
    dataset_id (str): ID of the dataset to be manipulated",ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#dataset
datasets,Retrieve the sub-client for manipulating datasets.,ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#datasets
key_value_store,"Retrieve the sub-client for manipulating a single key-value store.

Args:
    key_value_store_id (str): ID of the key-value store to be manipulated",ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#key_value_store
key_value_stores,Retrieve the sub-client for manipulating key-value stores.,ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#key_value_stores
request_queue,"Retrieve the sub-client for manipulating a single request queue.

Args:
    request_queue_id (str): ID of the request queue to be manipulated
    client_key (str): A unique identifier of the client accessing the request queue",ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#request_queue
request_queues,Retrieve the sub-client for manipulating request queues.,ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#request_queues
webhook,"Retrieve the sub-client for manipulating a single webhook.

Args:
    webhook_id (str): ID of the webhook to be manipulated",ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#webhook
webhooks,Retrieve the sub-client for querying multiple webhooks of a user.,ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#webhooks
webhook_dispatch,"Retrieve the sub-client for accessing a single webhook dispatch.

Args:
    webhook_dispatch_id (str): ID of the webhook dispatch to access",ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#webhook_dispatch
webhook_dispatches,Retrieve the sub-client for querying multiple webhook dispatches of a user.,ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#webhook_dispatches
schedule,"Retrieve the sub-client for manipulating a single schedule.

Args:
    schedule_id (str): ID of the schedule to be manipulated",ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#schedule
schedules,Retrieve the sub-client for manipulating schedules.,ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#schedules
log,"Retrieve the sub-client for retrieving logs.

Args:
    build_or_run_id (str): ID of the actor build or run for which to access the log",ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#log
task,"Retrieve the sub-client for manipulating a single task.

Args:
    task_id (str): ID of the task to be manipulated",ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#task
tasks,Retrieve the sub-client for manipulating tasks.,ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#tasks
user,"Retrieve the sub-client for querying users.

Args:
    user_id (str, optional): ID of user to be queried. If None, queries the user belonging to the token supplied to the client",ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#user
store,Retrieve the sub-client for Apify store.,ApifyClient,,https://docs.apify.com/api/client/python/reference/class/ApifyClient#store
__init__,"Initialize the ApifyClientAsync.

Args:
    token (str, optional): The Apify API token
    api_url (str, optional): The URL of the Apify API server to which to connect to. Defaults to https://api.apify.com
    max_retries (int, optional): How many times to retry a failed request at most
    min_delay_between_retries_millis (int, optional): How long will the client wait between retrying requests
        (increases exponentially from this value)
    timeout_secs (int, optional): The socket timeout of the HTTP requests sent to the Apify API",ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#__init__
actor,"Retrieve the sub-client for manipulating a single actor.

Args:
    actor_id (str): ID of the actor to be manipulated",ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#actor
actors,Retrieve the sub-client for manipulating actors.,ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#actors
build,"Retrieve the sub-client for manipulating a single actor build.

Args:
    build_id (str): ID of the actor build to be manipulated",ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#build
builds,Retrieve the sub-client for querying multiple builds of a user.,ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#builds
run,"Retrieve the sub-client for manipulating a single actor run.

Args:
    run_id (str): ID of the actor run to be manipulated",ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#run
runs,Retrieve the sub-client for querying multiple actor runs of a user.,ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#runs
dataset,"Retrieve the sub-client for manipulating a single dataset.

Args:
    dataset_id (str): ID of the dataset to be manipulated",ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#dataset
datasets,Retrieve the sub-client for manipulating datasets.,ApifyClientAsync,,https://docs.apify.com/api/client/python/reference/class/ApifyClientAsync#datasets
